term,lemma,suggested_meaning_zh_simp,part_of_speech,part_of_speech_zh,popup_speak_text_zh,tts_engine_preferred,tts_voice_preferred,quality_grade,import_allowed,can_default_popup,single_click_popup_enabled,high_confidence_popup,can_learning_search,needs_followup_review,product_layer_after_prepare,reason,match_source,meaning_supported_by_current_evidence,repaired_from_reject,source_index,source_volume,source_page,evidence_en,evidence_zh_simp,occurrence_count,volume_count,score,original_product_layer,original_final_category,original_meaning_zh_simp,database_write_performed,front_end_import_ready,reader_dictionary_import_candidate,domain_glossary_import_candidate,metadata
redemption,redemption,救赎,noun,名词,名词，救赎。英文，redemption。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,71,03 Leviticus,2,Thus Exodus we see two main things—God’s redemption and God’s habitation.,能阻止祂或废除祂的定旨。人堕落到极点以后，神就进来拯救堕落的人。神救赎了祂堕落的子民，把他们带到一个地方，在那里将他们建造在一起，作祂在地上的居所。因此我们在出埃及记看见两件主要的事－神的救赎和神的居所。,2336,44,2776.0,default_front_glossary,frontend_ready,救赎,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""03 Leviticus"", ""source_page"": ""2"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，救赎。英文，redemption。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
reality,reality,实际,noun,名词,名词，实际。英文，reality。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,94,06 Joshua,21,"In fact, our flesh has already been crucified, but practicality we need to crucify the flesh day by This is the reality and practicality of remaining in death and burial of Christ, and this is the significance of circumcision.",割礼应用于我们的肉体。在事实上，我们的肉体已经被钉十字架，但在实行上，我们需要天天将肉体钉十字架。这是留在基督之死与埋葬里的实际与实行，这也是割礼的意义。,2136,42,2556.0,default_front_glossary,frontend_ready,实际,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""06 Joshua"", ""source_page"": ""21"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，实际。英文，reality。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
heavenly,heavenly,天上的,adverb,副词,副词，天上的。英文，heavenly。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,95,03 Leviticus,248,"CHRIST, OUR PERPETUAL DUE All the aspects of Christ revealed in Hebrews inexhaustible. He is the Creator, the Upholder, the Heir, the One who has destroyed the Devil, the Apostle, High Priest, the Forerunner, the Surety, the heavenly Minister, the One appearing before God on our behalf, and the replacement of all the Old Testament offerings.",基督，我们永得的分希伯来书所启示基督的各面是无穷尽的。祂是创造者，维持、载著并推动者，承受者，废除魔鬼者，使徒，大祭司，先锋，保证，天上的执事，为我们显在神前的那位，以及旧约一切供物的顶替。基督是一切正面,2130,42,2550.0,default_front_glossary,frontend_ready,天上的,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""03 Leviticus"", ""source_page"": ""248"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""adverb"", ""part_of_speech_zh"": ""副词"", ""popup_speak_text_zh"": ""副词，天上的。英文，heavenly。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
altar,altar,祭坛,noun,名词,名词，祭坛。英文，altar。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,82,02 Exodus,249,"The answer that even though a donkey had been redeemed, it still an unclean animal. In order to be sanctified, to offered on the altar to the Lord for His satisfaction, donkey still had to be redeemed with a lamb.",在这点上，我们需要问一个相当令人困惑的问题。既然头生的驴已经被逾越节的羊羔所赎，为甚么在分别为圣时，祂需要再赎呢？答案是：即使一只驴已经被赎了，牠还是不洁净的动物。为了分别为圣，在祭坛上献给主，为著祂的满足，这只驴仍必须用羊羔代赎。牠不彀资格献给主来为著祂的满足。,2240,36,2600.0,default_front_glossary,frontend_ready,祭坛,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""02 Exodus"", ""source_page"": ""249"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，祭坛。英文，altar。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
priesthood,priesthood,祭司职分,noun,名词,名词，祭司职分。英文，priesthood。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,275,01 Genesis,14,"Satan’s origin was wonderful. He was God’s anointed cherub, the one closest to God, holding the highest position in God’s creation. He had not only kingship, but also the priesthood, the very position that we, God’s redeemed people, have forever (Rev.",撒但的起始是美妙的，他是神所膏的基路伯，是与神最亲近的一位，在神的造物中有最高的地位。他不只有君王职分，也有祭司职分，那是我们蒙救赎的人永远所有的地位。（启五,869,32,1189.0,default_front_glossary,frontend_ready,祭司职分,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""14"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，祭司职分。英文，priesthood。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
anointing,anointing,受膏；膏油的涂抹,noun_or_verb,名词或动词,名词或动词，受膏；膏油的涂抹。英文，anointing。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,244,02 Exodus,1232,"Many in Pentecostalism do not experience a genuine anointing, because they are not properly covered with Christ. Actually there is no need for us to pray for the baptism of the Holy Spirit. If we are covered with Christ in a proper way, the anointing is ours.",多灵恩派的人没有经历真正的受膏，因为他们没有合式地以基督来遮盖。事实上，我们不需要为圣灵的浸来祷告，倘若我们合式地以基督来遮盖，膏油的涂抹就是我们的，,956,31,1266.0,default_front_glossary,frontend_ready,受膏；膏油的涂抹,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""02 Exodus"", ""source_page"": ""1232"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun_or_verb"", ""part_of_speech_zh"": ""名词或动词"", ""popup_speak_text_zh"": ""名词或动词，受膏；膏油的涂抹。英文，anointing。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
consecration,consecration,奉献,noun,名词,名词，奉献。英文，consecration。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,955,01 Genesis,457,"As I went out of that church building and walked along the street, I lifted up my eyes to heaven and said, “God, from today on everything is for You.” That was a real consecration.",你若核对自己的经历，会看见在你蒙召之后，神立刻再向你显现，你就说，『主阿，从今以后，一切都是你的。凡我的所是、所有、所能作、并所要作的，都是为著你。』我仍然能彀回忆我得救那天下午所发生的事。我从那个聚会的地方出去，走在街上，举目望天说，『神阿，从今天起，一切都是为著你。』那是真正的奉献。在属灵的,175,13,305.0,default_front_glossary,frontend_ready,奉献,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""457"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，奉献。英文，consecration。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
matter,matter,重要,noun,名词,名词，重要。英文，matter。,edge-tts,zh-CN-YunjianNeural,B,true,true,true,false,true,false,learning_vocab,"Productize as learning/search/review vocabulary, not as default reader popup.",productized_final_review,true,false,9,02 Exodus,3,this matter Exodus is more detailed and solid than Genesis. Not even in the New Testament do we such a picture of the spiritual life supply. This should cause us to be impressed with the significance importance of the book of Exodus.,这件事上，出埃及记比创世记更详尽、更充实。即使在新约里，我们也找不出这样一幅属灵生命供应的图画。这使我们对于出埃及记的意义和重要性能有印象。,6457,51,6967.0,learning_vocab,learning_only,重要,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""learning_vocab"", ""original_final_category"": ""learning_only"", ""source_volume"": ""02 Exodus"", ""source_page"": ""3"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": false, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，重要。英文，matter。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
person,person,人,noun,名词,名词，人。英文，person。,edge-tts,zh-CN-YunjianNeural,B,true,true,true,false,true,false,learning_vocab,"Productize as learning/search/review vocabulary, not as default reader popup.",productized_final_review,true,false,16,01 Genesis,3,"The whole Bible is a book of life, and this life nothing less than the divine and living Person Christ Jesus Himself, Who is our portion. When come to the Bible, we must come to contact Him.",整本圣经是一本生命的书，这生命就是基督耶稣自己这神圣而活的人位，祂乃是我们的分。当我们来读圣经，我们必须来接触祂，我们不该重复,5534,51,6044.0,learning_vocab,learning_only,人,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""learning_vocab"", ""original_final_category"": ""learning_only"", ""source_volume"": ""01 Genesis"", ""source_page"": ""3"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": false, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，人。英文，person。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
jesus,jesus,耶稣,proper_noun,专有名词,专有名词，耶稣。英文，jesus。,edge-tts,zh-CN-YunjianNeural,B,true,true,true,false,true,false,learning_vocab,"Productize as learning/search/review vocabulary, not as default reader popup.",productized_final_review,true,false,2,01 Genesis,2,THE SPIRIT AND LIFE The Lord Jesus said that the words He speaks spirit and life (John Can we imagine that the Bible as the Word of God is the Spirit?,灵与生命主耶稣曾说，祂所说的话就是灵，就是生命。（约六63。）我们能想像到，这本是神的话的圣经就是灵么？牠不仅是白纸上的黑字；牠是一些更高、更深、更丰富且更丰满的东西－那就是灵和生命。圣经又告诉我们，那灵就是神自己，（约四24，）而生命也就是基督。（约十四我不是说圣经就是神自己，乃是说根据主耶稣所说，圣经里的话就是灵，而灵就是神自己，就是对我们是生命的主。当我们来接触这话，我们的地位若是对的，心与灵也是敞开的，我们必定接触到神自己，并且得著生命。,11559,50,12059.0,learning_vocab,learning_only,耶稣,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""learning_vocab"", ""original_final_category"": ""learning_only"", ""source_volume"": ""01 Genesis"", ""source_page"": ""2"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": false, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""proper_noun"", ""part_of_speech_zh"": ""专有名词"", ""popup_speak_text_zh"": ""专有名词，耶稣。英文，jesus。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
