term,lemma,suggested_meaning_zh_simp,part_of_speech,part_of_speech_zh,popup_speak_text_zh,tts_engine_preferred,tts_voice_preferred,quality_grade,import_allowed,can_default_popup,single_click_popup_enabled,high_confidence_popup,can_learning_search,needs_followup_review,product_layer_after_prepare,reason,match_source,meaning_supported_by_current_evidence,repaired_from_reject,source_index,source_volume,source_page,evidence_en,evidence_zh_simp,occurrence_count,volume_count,score,original_product_layer,original_final_category,original_meaning_zh_simp,database_write_performed,front_end_import_ready,reader_dictionary_import_candidate,domain_glossary_import_candidate,metadata
redemption,redemption,救赎,noun,名词,名词，救赎。英文，redemption。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,71,03 Leviticus,2,Thus Exodus we see two main things—God’s redemption and God’s habitation.,能阻止祂或废除祂的定旨。人堕落到极点以后，神就进来拯救堕落的人。神救赎了祂堕落的子民，把他们带到一个地方，在那里将他们建造在一起，作祂在地上的居所。因此我们在出埃及记看见两件主要的事－神的救赎和神的居所。,2336,44,2776.0,default_front_glossary,frontend_ready,救赎,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""03 Leviticus"", ""source_page"": ""2"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，救赎。英文，redemption。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
reality,reality,实际,noun,名词,名词，实际。英文，reality。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,94,06 Joshua,21,"In fact, our flesh has already been crucified, but practicality we need to crucify the flesh day by This is the reality and practicality of remaining in death and burial of Christ, and this is the significance of circumcision.",割礼应用于我们的肉体。在事实上，我们的肉体已经被钉十字架，但在实行上，我们需要天天将肉体钉十字架。这是留在基督之死与埋葬里的实际与实行，这也是割礼的意义。,2136,42,2556.0,default_front_glossary,frontend_ready,实际,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""06 Joshua"", ""source_page"": ""21"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，实际。英文，reality。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
heavenly,heavenly,天上的,adverb,副词,副词，天上的。英文，heavenly。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,95,03 Leviticus,248,"CHRIST, OUR PERPETUAL DUE All the aspects of Christ revealed in Hebrews inexhaustible. He is the Creator, the Upholder, the Heir, the One who has destroyed the Devil, the Apostle, High Priest, the Forerunner, the Surety, the heavenly Minister, the One appearing before God on our behalf, and the replacement of all the Old Testament offerings.",基督，我们永得的分希伯来书所启示基督的各面是无穷尽的。祂是创造者，维持、载著并推动者，承受者，废除魔鬼者，使徒，大祭司，先锋，保证，天上的执事，为我们显在神前的那位，以及旧约一切供物的顶替。基督是一切正面,2130,42,2550.0,default_front_glossary,frontend_ready,天上的,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""03 Leviticus"", ""source_page"": ""248"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""adverb"", ""part_of_speech_zh"": ""副词"", ""popup_speak_text_zh"": ""副词，天上的。英文，heavenly。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
altar,altar,祭坛,noun,名词,名词，祭坛。英文，altar。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,82,02 Exodus,249,"The answer that even though a donkey had been redeemed, it still an unclean animal. In order to be sanctified, to offered on the altar to the Lord for His satisfaction, donkey still had to be redeemed with a lamb.",在这点上，我们需要问一个相当令人困惑的问题。既然头生的驴已经被逾越节的羊羔所赎，为甚么在分别为圣时，祂需要再赎呢？答案是：即使一只驴已经被赎了，牠还是不洁净的动物。为了分别为圣，在祭坛上献给主，为著祂的满足，这只驴仍必须用羊羔代赎。牠不彀资格献给主来为著祂的满足。,2240,36,2600.0,default_front_glossary,frontend_ready,祭坛,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""02 Exodus"", ""source_page"": ""249"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，祭坛。英文，altar。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
priesthood,priesthood,祭司职分,noun,名词,名词，祭司职分。英文，priesthood。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,275,01 Genesis,14,"Satan’s origin was wonderful. He was God’s anointed cherub, the one closest to God, holding the highest position in God’s creation. He had not only kingship, but also the priesthood, the very position that we, God’s redeemed people, have forever (Rev.",撒但的起始是美妙的，他是神所膏的基路伯，是与神最亲近的一位，在神的造物中有最高的地位。他不只有君王职分，也有祭司职分，那是我们蒙救赎的人永远所有的地位。（启五,869,32,1189.0,default_front_glossary,frontend_ready,祭司职分,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""14"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，祭司职分。英文，priesthood。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
anointing,anointing,受膏；膏油的涂抹,noun_or_verb,名词或动词,名词或动词，受膏；膏油的涂抹。英文，anointing。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,244,02 Exodus,1232,"Many in Pentecostalism do not experience a genuine anointing, because they are not properly covered with Christ. Actually there is no need for us to pray for the baptism of the Holy Spirit. If we are covered with Christ in a proper way, the anointing is ours.",多灵恩派的人没有经历真正的受膏，因为他们没有合式地以基督来遮盖。事实上，我们不需要为圣灵的浸来祷告，倘若我们合式地以基督来遮盖，膏油的涂抹就是我们的，,956,31,1266.0,default_front_glossary,frontend_ready,受膏；膏油的涂抹,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""02 Exodus"", ""source_page"": ""1232"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun_or_verb"", ""part_of_speech_zh"": ""名词或动词"", ""popup_speak_text_zh"": ""名词或动词，受膏；膏油的涂抹。英文，anointing。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
consecration,consecration,奉献,noun,名词,名词，奉献。英文，consecration。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,955,01 Genesis,457,"As I went out of that church building and walked along the street, I lifted up my eyes to heaven and said, “God, from today on everything is for You.” That was a real consecration.",你若核对自己的经历，会看见在你蒙召之后，神立刻再向你显现，你就说，『主阿，从今以后，一切都是你的。凡我的所是、所有、所能作、并所要作的，都是为著你。』我仍然能彀回忆我得救那天下午所发生的事。我从那个聚会的地方出去，走在街上，举目望天说，『神阿，从今天起，一切都是为著你。』那是真正的奉献。在属灵的,175,13,305.0,default_front_glossary,frontend_ready,奉献,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""457"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，奉献。英文，consecration。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
sin,sin,罪,noun,名词,名词，罪。英文，sin。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,8,01 Genesis,25,"The Lord Jesus said (John that when the Spirit is come, He will reprove, He will convince world (meaning humanity) of sin (related to Adam), of righteousness (related to Christ), and of judgment (related to Satan).",主耶稣说，当圣灵来了，祂要叫世人为罪，（与亚当有关，）为义，（与基督有关，）为审判，（与撒但有关，）自己责备自己。（约十六祂要用覆翼的方式，非常慈爱的方式责备人，而不用暴烈的方式。在全宇宙中，只有三个人物：亚当、基督与撒但。圣灵在我们里面作工，使我们承认我们是在亚当里生的，除了罪以外一无所有，若是不信基督就无法逃脱罪与亚当的,6544,49,7034.0,default_front_glossary,frontend_ready,罪,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""25"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，罪。英文，sin。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
flesh,flesh,肉体,noun,名词,名词，肉体。英文，flesh。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Stable Life-study and biblical term with repeated aligned evidence.,evidence_queue_round_001,true,false,21,01 Genesis,21,"The Lord Jesus, when in the flesh as a man, began execute God’s judgment. He “was manifested, that He might undo the works of the Devil” John The Lord gave His disciples “authority” (Luke over all the power of the enemy.",当主耶稣在肉体中为人的时候，就开始执行神的审判了。祂『显现出来，是要消除魔鬼的作为。』约壹三8。）主给祂门徒『权柄，』（路十19，）胜过仇敌一切的能力。当门徒赶出鬼的时候，撒但就从天上坠落。（路十20。）藉著祂在十字架上的死，祂废除了魔鬼。（来二祂已伤了古蛇的头。现今我们是祂的身体，必须继续这执行，来毁坏蛇尾。,4528,48,5008.0,evidence_queue,needs_more_evidence,肉体,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""evidence_queue"", ""original_final_category"": ""needs_more_evidence"", ""source_volume"": ""01 Genesis"", ""source_page"": ""21"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，肉体。英文，flesh。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
saints,saint,圣徒,noun,名词,名词，圣徒。英文，saints。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,30,01 Genesis,33,"The overcoming saints are also likened by the Lord Jesus to the sun (Matt. They are so one with Lord that one day they will shine as the sun, even as does.",主也将得胜的圣徒比作太阳。（太十三43。）他们是这样与主成为一，有一天他们也要像主一样，发光如同太阳。,3587,49,4077.0,default_front_glossary,frontend_ready,圣徒,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""33"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，圣徒。英文，saints。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
